names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
Civil engineering,,0.004637512,,0.00159217,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.12,0.039553981,2,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Manufacture of wood and products of wood and cork,-0.000156303,0.000156303,2.82E-05,1.51E-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0,0.000374482,2,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.022503085,,0.008511043,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.56,0.211438257,2,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Manufacture of other transport equipment,-5.98E-05,5.98E-05,2.71E-05,1.65E-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0,0.000409747,1,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Manufacture of electrical equipment,-6.65E-05,6.65E-05,2.61E-05,1.50E-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0,0.000373863,1,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Manufacture of food products,0.003150189,0.005001673,0.00525968,0.00179564,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.12,0.044608746,1,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Specialized construction activities,1.37E-11,1.39E-11,3.36E-11,1.98E-11,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0,4.92E-10,1,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Mining of coal and lignite,,0.002345673,,0.000888046,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.06,0.022061554,1,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Mining of metal ores,,0.001408557,,0.000741309,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.03,0.018416213,1,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Unknown,-0.000572517,0.000572517,4.91E-05,2.90E-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.01,0.000719603,1,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Manufacture of machinery and equipment,-6.52E-06,6.52E-06,6.72E-06,4.02E-06,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0,1.00E-04,1,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Land transport and transport via pipelines,,0.141031046,,0.062587365,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,3.5,1.554846298,146,_market_for_diammonium_phosphate___kilogram__RER__None_
Construction of buildings,,0.000140854,,4.50E-05,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0,0.001118574,21,_market_for_diammonium_phosphate___kilogram__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.062914655,,0.022751765,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,1.56,0.565217874,16,_market_for_diammonium_phosphate___kilogram__RER__None_
Manufacture of chemicals and chemical products,,0.273619302,,0.104914394,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,6.8,2.606368824,15,_market_for_diammonium_phosphate___kilogram__RER__None_
Other mining and quarrying,,0.001874777,,0.001010032,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.05,0.025092035,13,_market_for_diammonium_phosphate___kilogram__RER__None_
Manufacture of basic metals,,0.016599524,,0.007730048,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.41,0.192036151,8,_market_for_diammonium_phosphate___kilogram__RER__None_
Manufacture of other non-metallic mineral products,,0.000714805,,0.000217423,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.02,0.0054014,7,_market_for_diammonium_phosphate___kilogram__RER__None_
"Waste collection, treatment, and disposal activities",,0.013429047,,0.002235745,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.33,0.055542195,7,_market_for_diammonium_phosphate___kilogram__RER__None_
Manufacture of coke and refined petroleum products,,0.005153496,,0.003218037,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.13,0.07994509,4,_market_for_diammonium_phosphate___kilogram__RER__None_
Extraction of crude petroleum and natural gas,,0.015956669,,0.009267692,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.4,0.230235546,4,_market_for_diammonium_phosphate___kilogram__RER__None_
"Crop and animal production, hunting and related service activities",,0.004934464,,0.001784638,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.12,0.044335437,4,_market_for_diammonium_phosphate___kilogram__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.000516215,,0.000243827,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.01,0.006057358,2,_market_for_diammonium_phosphate___kilogram__RER__None_
Civil engineering,,0.003123439,,0.00288572,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.08,0.071689401,2,_market_for_diammonium_phosphate___kilogram__RER__None_
Manufacture of wood and products of wood and cork,-0.000159963,0.000159963,2.57E-05,1.46E-05,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0,0.000362709,2,_market_for_diammonium_phosphate___kilogram__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.020776273,,0.007322918,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.52,0.18192189,2,_market_for_diammonium_phosphate___kilogram__RER__None_
Manufacture of other transport equipment,-5.81E-05,5.81E-05,2.88E-05,1.85E-05,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0,0.000460066,1,_market_for_diammonium_phosphate___kilogram__RER__None_
Manufacture of electrical equipment,-4.82E-05,4.91E-05,3.66E-05,2.12E-05,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0,0.000527502,1,_market_for_diammonium_phosphate___kilogram__RER__None_
Manufacture of food products,0.006044596,0.006245423,0.003321522,0.001566688,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.16,0.038920938,1,_market_for_diammonium_phosphate___kilogram__RER__None_
Specialized construction activities,3.39E-11,3.72E-11,1.04E-10,5.96E-11,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0,1.48E-09,1,_market_for_diammonium_phosphate___kilogram__RER__None_
Mining of coal and lignite,,0.001191577,,0.000877867,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.03,0.02180868,1,_market_for_diammonium_phosphate___kilogram__RER__None_
Mining of metal ores,,0.001121281,,0.000436527,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.03,0.01084457,1,_market_for_diammonium_phosphate___kilogram__RER__None_
Unknown,-0.00062137,0.00062137,9.67E-05,5.44E-05,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0.02,0.001350956,1,_market_for_diammonium_phosphate___kilogram__RER__None_
Manufacture of machinery and equipment,-5.07E-06,8.68E-06,8.82E-06,3.03E-06,10,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_,2,261,61.02778864,240,4.02530883,0,7.52E-05,1,_market_for_diammonium_phosphate___kilogram__RER__None_
Land transport and transport via pipelines,,0.071820432,,0.050088291,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,1.78,1.24433412,146,_diammonium_phosphate_production___kilogram__RER__None_
Construction of buildings,,0.000210939,,5.52E-05,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.01,0.001370109,21,_diammonium_phosphate_production___kilogram__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.116272389,,0.035379953,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,2.89,0.878937607,16,_diammonium_phosphate_production___kilogram__RER__None_
Manufacture of chemicals and chemical products,,0.289632295,,0.097038044,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,7.2,2.410698109,15,_diammonium_phosphate_production___kilogram__RER__None_
Other mining and quarrying,,0.001370158,,0.000634854,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.03,0.015771558,13,_diammonium_phosphate_production___kilogram__RER__None_
Manufacture of basic metals,,0.007469586,,0.003384718,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.19,0.084085922,8,_diammonium_phosphate_production___kilogram__RER__None_
Manufacture of other non-metallic mineral products,,0.000495247,,0.000277089,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.01,0.006883671,7,_diammonium_phosphate_production___kilogram__RER__None_
"Waste collection, treatment, and disposal activities",,0.014425046,,0.001681997,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.36,0.041785544,6,_diammonium_phosphate_production___kilogram__RER__None_
Manufacture of coke and refined petroleum products,,0.00327764,,0.001850038,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.08,0.045960157,4,_diammonium_phosphate_production___kilogram__RER__None_
Extraction of crude petroleum and natural gas,,0.014600095,,0.007168401,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.36,0.178083257,4,_diammonium_phosphate_production___kilogram__RER__None_
"Crop and animal production, hunting and related service activities",,0.005209025,,0.002366505,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.13,0.058790654,4,_diammonium_phosphate_production___kilogram__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.000583005,,0.000273054,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.01,0.006783421,2,_diammonium_phosphate_production___kilogram__RER__None_
Civil engineering,,0.004239265,,0.001862087,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.11,0.046259471,2,_diammonium_phosphate_production___kilogram__RER__None_
Manufacture of wood and products of wood and cork,-0.000177588,0.000177588,4.27E-05,2.15E-05,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0,0.000534356,2,_diammonium_phosphate_production___kilogram__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.010747765,,0.003754206,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.27,0.093265033,2,_diammonium_phosphate_production___kilogram__RER__None_
Manufacture of electrical equipment,-4.92E-05,4.92E-05,3.04E-05,2.07E-05,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0,0.000514899,1,_diammonium_phosphate_production___kilogram__RER__None_
Manufacture of food products,0.005214076,0.00585022,0.0039246,0.001395305,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.15,0.034663299,1,_diammonium_phosphate_production___kilogram__RER__None_
Specialized construction activities,4.39E-13,1.42E-12,2.72E-12,1.24E-12,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0,3.08E-11,1,_diammonium_phosphate_production___kilogram__RER__None_
Mining of coal and lignite,,0.001699251,,0.001047534,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.04,0.026023702,1,_diammonium_phosphate_production___kilogram__RER__None_
Mining of metal ores,,0.001887458,,0.00114309,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.05,0.028397568,1,_diammonium_phosphate_production___kilogram__RER__None_
Unknown,-0.000564894,0.000564894,7.29E-05,4.25E-05,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0.01,0.001055296,1,_diammonium_phosphate_production___kilogram__RER__None_
Manufacture of machinery and equipment,-4.40E-06,6.47E-06,7.75E-06,3.66E-06,10,_market_for_diammonium_phosphate___kilogram__RER__None_,3,259,58.50798225,230,4.02530883,0,9.10E-05,1,_diammonium_phosphate_production___kilogram__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.013095906,,0.007495172,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0.33,0.18620117,76,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Civil engineering,,0.001479902,,0.000595961,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0.04,0.01480536,18,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Mining of coal and lignite,,0.000392517,,0.000224051,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0.01,0.00556606,7,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Construction of buildings,,2.80E-05,,1.59E-05,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0,0.000394169,4,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Other mining and quarrying,,0.000342116,,0.00026924,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0.01,0.00668867,4,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Manufacture of basic metals,,0.002971865,,0.001177482,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0.07,0.029251972,3,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Land transport and transport via pipelines,,0.008551171,,0.003296896,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0.21,0.081904183,3,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Extraction of crude petroleum and natural gas,,0.000142216,,0.000125724,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0,0.003123346,2,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Manufacture of coke and refined petroleum products,,0.000264615,,9.18E-05,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0.01,0.002279872,2,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.000963725,,0.000330409,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0.02,0.008208291,2,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Manufacture of electrical equipment,-6.13E-06,6.13E-06,2.00E-06,1.24E-06,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0,3.09E-05,2,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Manufacture of chemicals and chemical products,,0.346465947,,0.084116619,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,8.61,2.089693551,1,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Manufacture of other non-metallic mineral products,,3.36E-05,,1.52E-05,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0,0.000377837,1,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Mining of metal ores,,0.000163467,,5.82E-05,10,_diammonium_phosphate_production___kilogram__RER__None_,4,126,38.61512351,150,4.02530883,0,0.001446987,1,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_
Land transport and transport via pipelines,,0.107038179,,0.052133828,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,2.66,1.295151013,144,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Construction of buildings,,0.000207561,,6.40E-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.01,0.001590894,20,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.049226571,,0.025573046,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,1.22,0.635306435,15,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of chemicals and chemical products,,0.190267428,,0.094768211,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,4.73,2.354309066,15,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Other mining and quarrying,,0.001045758,,0.000394316,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.03,0.009795929,11,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of basic metals,,0.015629823,,0.008406948,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.39,0.20885224,8,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of other non-metallic mineral products,,0.000741528,,0.000309634,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.02,0.007692189,7,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of coke and refined petroleum products,,0.003258319,,0.001745842,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.08,0.043371636,6,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
"Waste collection, treatment, and disposal activities",,0.003614639,,0.001469138,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.09,0.03649751,4,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Civil engineering,,0.005975298,,0.001850468,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.15,0.045970828,4,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.000486176,,0.000223354,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.01,0.005548745,4,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
"Crop and animal production, hunting and related service activities",,0.00176562,,0.000995653,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.04,0.024734828,2,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of wood and products of wood and cork,-0.00016245,0.00016245,3.59E-05,2.07E-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0,0.000513719,2,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.016556971,,0.008625494,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.41,0.214281546,1,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of other transport equipment,-6.70E-05,6.70E-05,2.35E-05,1.42E-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0,0.000353595,1,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of electrical equipment,-5.95E-05,5.95E-05,2.60E-05,1.51E-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0,0.000375495,1,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of food products,0.002515992,0.002515992,0.001162082,0.000655839,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.06,0.016292899,1,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Specialized construction activities,-1.29E-08,1.29E-08,4.07E-08,2.36E-08,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0,5.85E-07,1,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Mining of coal and lignite,,0.001622694,,0.000710455,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.04,0.017649696,1,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Mining of metal ores,,0.000866823,,0.000282262,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.02,0.007012179,1,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Extraction of crude petroleum and natural gas,,0.000210544,,0.000103421,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0.01,0.002569273,1,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of machinery and equipment,-4.08E-06,4.15E-06,3.25E-06,1.89E-06,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,251,66.72396708,230,4.02530883,0,4.69E-05,1,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_
Land transport and transport via pipelines,,0.117705274,,0.049676501,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,2.92,1.234104084,144,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Construction of buildings,,0.000191297,,6.37E-05,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0,0.001582986,20,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.054785973,,0.018310682,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,1.36,0.454888883,15,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of chemicals and chemical products,,0.232731771,,0.086076049,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,5.78,2.138371311,15,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Other mining and quarrying,,0.001343559,,0.000583027,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.03,0.014484019,11,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of basic metals,,0.027668359,,0.019915551,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.69,0.494758342,8,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of other non-metallic mineral products,,0.000806072,,0.000277926,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.02,0.006904462,7,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of coke and refined petroleum products,,0.003793788,,0.002312042,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.09,0.057437627,6,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
"Waste collection, treatment, and disposal activities",,0.002804834,,0.001247346,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.07,0.030987576,4,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Civil engineering,,0.005091732,,0.002134855,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.13,0.053035805,4,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.000421129,,0.000251305,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.01,0.006243114,4,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
"Crop and animal production, hunting and related service activities",,0.000990372,,0.000724703,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.02,0.018003662,2,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of wood and products of wood and cork,-0.000166083,0.000166083,4.84E-05,2.78E-05,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0,0.000690464,2,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.019683315,,0.006493076,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.49,0.16130629,1,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of other transport equipment,-5.74E-05,5.74E-05,2.65E-05,1.68E-05,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0,0.000416618,1,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of electrical equipment,-5.14E-05,5.14E-05,3.19E-05,1.93E-05,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0,0.000480564,1,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
Manufacture of food products,0.002921021,0.002921021,0.001229255,0.00070059,10,_nutrient_supply_from_NPK__15_15_15__fertiliser___kilogram__RER__None_,2,251,59.92134666,230,4.02530883,0.07,0.017404624,1,_market_for_NPK__15_15_15__fertiliser___kilogram__RER__None_
