names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
Extraction of crude petroleum and natural gas,,1.7262943565261393e-06,,6.088581452760189e-07,10,205,32.23270583152771,190,0.011734584437500159,0.01471116736788248,0.00518857867118237,1,Windelectricitylessthan1MWonshore
Manufacture of basic metals,,0.00048270335129105903,,0.00021101919857928638,10,58,23.12830352783203,130,0.05918619050959434,0.8155675287342758,0.35653451719464735,20,SurfaceirrigationZA
Land transport and transport via pipelines,,3.7545287277846945e-05,,2.4400754342101838e-05,10,58,23.12830352783203,130,0.05918619050959434,0.06343589096473559,0.04122710742490914,16,SurfaceirrigationZA
Manufacture of coke and refined petroleum products,,0.0016929429448336785,,0.00033212504123044534,10,58,23.12830352783203,130,0.05918619050959434,2.860368153884216,0.5611529283619064,5,SurfaceirrigationZA
"Electricity, gas, steam and air conditioning supply",,0.03224019354406225,,0.010693570887688611,10,58,23.12830352783203,130,0.05918619050959434,54.472493104343265,18.06767895621722,4,SurfaceirrigationZA
Civil engineering,,3.364207744798431e-05,,2.1086275438006653e-05,10,58,23.12830352783203,130,0.05918619050959434,0.05684109275884344,0.035627019168582026,2,SurfaceirrigationZA
"Wholesale trade, except of motor vehicles and motorcycles",,0.0004623642239832391,,0.0004501059762539209,10,58,23.12830352783203,130,0.05918619050959434,0.7812028785807525,0.7604915477385841,2,SurfaceirrigationZA
"Waste collection, treatment, and disposal activities",,0.00025682398551079037,,8.087764830068239e-05,10,58,23.12830352783203,130,0.05918619050959434,0.4339255209695547,0.1366495251752548,2,SurfaceirrigationZA
Mining of metal ores,,4.282541399476666e-06,,2.5865103864788857e-06,10,58,23.12830352783203,130,0.05918619050959434,0.007235710496999207,0.004370124794667434,2,SurfaceirrigationZA
Specialized construction activities,-6.02131452337451e-12,6.989308611038414e-12,2.0721885103087817e-11,9.987458062425082e-12,10,58,23.12830352783203,130,0.05918619050959434,1.1809019216915838e-08,1.6874642507708063e-08,2,SurfaceirrigationZA
Manufacture of chemicals and chemical products,,2.8399475265891706e-05,,1.026368717179943e-05,10,58,23.12830352783203,130,0.05918619050959434,0.04798327958155717,0.017341354602194985,1,SurfaceirrigationZA
Mining of coal and lignite,,0.000944798817919702,,0.0006611867653701163,10,58,23.12830352783203,130,0.05918619050959434,1.596316319372753,1.1171301272767928,1,SurfaceirrigationZA
Manufacture of machinery and equipment,5.3095863179449324e-08,1.5440227806476185e-07,2.467368205050189e-07,1.1937343749934783e-07,10,58,23.12830352783203,130,0.05918619050959434,0.0002608755129116353,0.0002016913683268682,1,SurfaceirrigationZA
