names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
"Crop and animal production, hunting and related service activities",,0.20049360675656128,,0.014670212243844665,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,60.46648369783276,4.424361274338492,12,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Mining of coal and lignite,,0.0004698422894000997,,4.9842121723614134e-05,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.14169883814329567,0.015031790237210055,8,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of machinery and equipment,,0.001001117969377036,,6.733879769656756e-05,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.30192525514513924,0.020308579305947917,7,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
"Waste collection, treatment, and disposal activities",,0.2983579683007358,,0.02811291044761462,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,89.98120946709216,8.47851893523628,6,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of other non-metallic mineral products,,0.00024214664552584618,,2.227742392909811e-05,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.07302854405702541,0.006718605708331084,4,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of other transport equipment,-2.8727182041708433e-05,2.8735073399827986e-05,1.3456665640527794e-05,1.6120124612045434e-06,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.008666155870976995,0.00048616375745326814,3,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of chemicals and chemical products,,0.003425992144186926,,0.0002668278053010446,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,1.0332384233424066,0.08047208786539578,3,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Construction of buildings,,9.401952050586804e-05,,4.809018527395778e-06,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.028355167508402737,0.001450342707148872,3,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Unknown,,0.00019786870603055075,,1.7396542577571533e-05,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.05967484490433018,0.005246590029389843,2,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Extraction of crude petroleum and natural gas,,2.0617442572692655e-05,,1.7687387674721764e-06,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.00621797510344766,0.0005334305446404523,2,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Mining of metal ores,,0.00025595694204201346,,2.742293530236705e-05,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.07719356499044097,0.008270430649794448,2,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.00023963420128316203,,1.745190030975642e-05,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.07227082079941335,0.00526328526204517,1,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Civil engineering,,0.0022140637464183686,,0.00014895138642194905,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.6677352539790529,0.04492196396959487,1,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of wood and products of wood and cork,,7.710267704668173e-05,,1.0794898542631519e-05,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.023253249019372403,0.0032556128213122003,1,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
"Wholesale trade, except of motor vehicles and motorcycles",,0.004899535073407378,,0.0004251028957422342,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,1.4776414192740928,0.12820596991159722,1,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Water transport,4.766443255861952e-05,0.00011618082578426161,0.00013569671951372351,9.64695293300776e-06,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.03503875321478251,0.0029094060987477554,1,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of electrical equipment,-2.415046505345695e-06,2.4268396150720537e-06,1.2131358324886131e-06,1.1351218445078756e-07,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.000731905921569775,3.42339227750678e-05,1,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of machinery and equipment,,0.011695155477759253,,0.0012022592880921669,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.005585658115602048,0.0005742043671296792,142,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
"Electricity, gas, steam and air conditioning supply",,21.61577229744788,,2.548485994063777,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,10.323788699334049,1.217168211428332,34,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Manufacture of coke and refined petroleum products,,0.3612646617479935,,0.03492675110878837,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.17254160439426075,0.01668117120404413,24,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
"Waste collection, treatment, and disposal activities",,0.4587632442570604,,0.05021692347943396,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.21910735973518997,0.023983825328948005,15,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Land transport and transport via pipelines,,3.4191960032890987,,0.3236679289193795,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,1.6330231727936835,0.15458523808142013,12,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
