names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.017796984,,0.004581792,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.620037543,0.159627203,
"'market for electricity, medium voltage' (kilowatt hour, SG, None)",-0.017375232,0.017375232,0.027260545,0.003180986,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.605343917,0.110823886,
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.017158103,,0.005213213,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.597779263,0.18162559,
"'market for electricity, high voltage' (kilowatt hour, HK, None)",,0.017080742,,0.00369485,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.595084038,0.128726641,
"'market for electricity, medium voltage' (kilowatt hour, HU, None)",0.017074234,0.017074234,0.035199108,0.003614847,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.594857323,0.125939378,
"'market for electricity, high voltage' (kilowatt hour, UZ, None)",,0.01658225,,0.003538953,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.577716854,0.123295273,
"'market for electricity, medium voltage' (kilowatt hour, BE, None)",-0.015844843,0.015844843,0.032269092,0.003773893,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.552025974,0.131480438,
"'market for electricity, high voltage' (kilowatt hour, VN, None)",,0.015065873,,0.003064745,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.524887065,0.106774102,
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.01466439,,0.003735301,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.510899611,0.130135936,
"'market for drying of maize straw and whole-plant' (litre, GLO, None)",-0.014476004,0.014476004,0.018076332,0.001946869,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.504336365,0.067827906,
