names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category,
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.00624921,,0.001769078,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.153719965,0.043516318,,
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",,0.005845583,,0.001388927,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.143791425,0.034165248,,
"'market for transport, freight train' (ton kilometer, CN, None)",,0.005842864,,0.000569797,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.143724542,0.01401604,,
"'market for electricity, high voltage' (kilowatt hour, ID, None)",,0.005708283,,0.001049914,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.140414078,0.025826103,,
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.005656324,,0.001499676,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.139135975,0.036889486,,
"'market for petroleum' (kilogram, Europe without Switzerland, None)",,0.005567692,,0.000665071,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.136955778,0.016359618,,
"'market for steel, unalloyed' (kilogram, GLO, None)",0.005340506,0.005376298,0.003351107,0.0003882,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.13224781,0.009549061,,
"'market for aluminium, wrought alloy' (kilogram, GLO, None)",,0.005320287,,0.000469828,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.130870035,0.011556972,,
"'market for sulfuric acid' (kilogram, RoW, None)",,0.005162794,,0.000579227,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.126995974,0.014248002,,
"'market for cast iron' (kilogram, GLO, None)",0.00451549,0.005031773,0.003825446,0.000359351,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.12377308,0.008839425,,
"'market for steel, low-alloyed' (kilogram, GLO, None)",,0.004868438,,0.000431588,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.119755316,0.010616333,,
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.004737226,0.004737226,0.00759133,0.000891103,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.116527723,0.021919622,,
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.004672415,0.004672415,0.005949269,0.000698364,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.114933483,0.01717857,,
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.004596067,,0.000459374,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.113055451,0.011299821,,
"'market for heat, central or small-scale, natural gas' (megajoule, RoW, None)",,0.004447049,,0.000307517,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.109389861,0.007564397,,
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.004388303,,0.000461322,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.107944809,0.011347739,,
"'market for electricity, low voltage' (kilowatt hour, US-RFC, None)",,0.004324042,,0.001195208,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.106364098,0.029400089,,
"'market for electricity, low voltage' (kilowatt hour, US-TRE, None)",,0.004312982,,0.000987021,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.106092041,0.024279042,,
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.004099346,0.00410192,0.003936058,0.000506634,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.100900273,0.012462337,,
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.004080462,,0.000952721,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.100372443,0.02343532,,
"'market for sodium chloride, powder' (kilogram, GLO, None)",,0.003816052,,0.000279069,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.093868406,0.006864624,,
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",,0.003780488,,0.00064642,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.092993591,0.015900835,,
"'market for electricity, high voltage' (kilowatt hour, BD, None)",,0.003768948,,0.000912918,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.092709727,0.022456234,,
"'market for electricity, high voltage' (kilowatt hour, PK, None)",,0.003746559,,0.000741995,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.092158996,0.018251818,,
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-0.003623967,0.003623967,0.00332971,0.000376069,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.08914344,0.009250659,,
"'market for harvester' (kilogram, GLO, None)",-0.003478396,0.003478396,0.000820302,8.59E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.085562641,0.002112994,,
"'market for electricity, high voltage' (kilowatt hour, MY, None)",,0.003377327,,0.000583123,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.083076515,0.014343837,,
"'market for oxygen, liquid' (kilogram, RoW, None)",-0.003373774,0.003373774,0.001780701,0.000191787,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.082989117,0.004717635,,
"'market for electricity, high voltage' (kilowatt hour, KR, None)",,0.003372309,,0.000548261,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.082953081,0.013486291,,
"'market for sodium hydroxide, without water, in 50% solution state' (kilogram, GLO, None)",,0.003237324,,0.000292897,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.079632679,0.007204769,,
"'market for electricity, high voltage' (kilowatt hour, VN, None)",,0.003208286,,0.000588942,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.078918393,0.014486974,,
"'market for hard coal' (kilogram, CN, None)",,0.003137569,,0.000255787,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.077178875,0.006291926,,
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.00306052,,0.000624666,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.0752836,0.015365724,,
"'market for electricity, medium voltage' (kilowatt hour, PH, None)",-0.002830038,0.002852536,0.006597491,0.000759563,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.070167546,0.018683961,,
"'market for electricity, high voltage' (kilowatt hour, TR, None)",,0.002830594,,0.000576337,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.069627811,0.014176912,,
"'market for copper, cathode' (kilogram, GLO, None)",,0.002828123,,0.000250699,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.069567028,0.00616677,,
"'market for railway track' (meter-year, GLO, None)",0.002620153,0.002620153,0.000618825,6.96E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.064451319,0.001712042,,
"'market for electricity, low voltage' (kilowatt hour, US-SERC, None)",,0.002608009,,0.000627524,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.064152597,0.015436026,,
"'market for polyethylene, high density, granulate' (kilogram, GLO, None)",,0.002598309,,0.000173368,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.063913994,0.004264559,,
"'market for electricity, high voltage' (kilowatt hour, DE, None)",,0.002572489,,0.000436056,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.063278865,0.010726238,,
"'market for heat, central or small-scale, other than natural gas' (megajoule, RoW, None)",,0.002572313,,0.000226743,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.063274536,0.005577493,,
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.002529554,0.002529554,0.003278585,0.00035106,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.062222737,0.00863548,,
"'market for electricity, low voltage' (kilowatt hour, US-MRO, None)",,0.002458925,,0.000692103,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.060485384,0.01702456,,
"'market for electricity, high voltage' (kilowatt hour, TW, None)",,0.002401158,,0.000516514,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.059064413,0.012705368,,
"'market for iron ore concentrate' (kilogram, GLO, None)",,0.002367237,,0.000219957,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.058230014,0.005410569,,
"'market for electricity, high voltage' (kilowatt hour, JP, None)",,0.002364663,,0.000531513,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.058166698,0.013074318,,
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.002351753,,0.000342498,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.057849134,0.00842487,,
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",,0.002317842,,0.000389996,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.057014981,0.00959324,,
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",,0.002178873,,0.00028653,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.05359658,0.007048152,,
"'market for acrylonitrile' (kilogram, GLO, None)",0.002155346,0.002155346,0.000816871,8.91E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.053017855,0.002191709,,
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,0.002152291,,0.000411364,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.052942707,0.010118857,,
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",0.002137906,0.002137906,0.00305295,0.000361824,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.052588861,0.008900257,,
"'market for electricity, high voltage' (kilowatt hour, IR, None)",,0.002003443,,0.000460069,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.049281299,0.011316917,,
"'market for electricity, high voltage' (kilowatt hour, PL, None)",,0.001914532,,0.000345947,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.047094239,0.008509709,,
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.001890108,0.001890108,0.002752146,0.000315231,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.04649345,0.007754148,,
"'market for electricity, high voltage' (kilowatt hour, CN-SWG, None)",,0.001857069,,0.000351003,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.045680747,0.008634078,,
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.001824276,,0.000370618,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.044874095,0.009116574,,
"'market for ammonia, anhydrous, liquid' (kilogram, RoW, None)",0.001809889,0.001809889,0.000723851,7.94E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.044520199,0.001953105,,
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.00175166,,0.000317601,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.043087864,0.007812446,,
"'market for electricity, high voltage' (kilowatt hour, IQ, None)",,0.00158597,,0.000422976,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.039012172,0.010404492,,
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",,0.001450324,,0.000356232,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.03567551,0.008762703,,
"'market group for electricity, medium voltage' (kilowatt hour, BR, None)",,0.00139371,,0.000302455,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.034282902,0.00743988,,
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",,0.001343005,,0.000354315,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.033035645,0.008715548,,
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.001342986,,0.00027307,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.033035177,0.006717059,,
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.001304908,,0.000237154,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.032098523,0.005833586,,
"'market for electricity, low voltage' (kilowatt hour, US-WECC, None)",,0.001286545,,0.00037309,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.031646824,0.009177381,,
