names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category,,,
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.070804076,,0.008829363,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.060099525,0.010401993,,,,
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",,0.07042231,,0.009700567,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.059775477,0.011428372,,,,
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",,0.068483398,,0.008320956,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.058129701,0.009803033,,,,
"'market for electricity, medium voltage' (kilowatt hour, ES, None)",-0.066617749,0.066617749,0.078266203,0.008632607,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.056546111,0.010170193,,,,
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",,0.063720481,,0.008603597,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.054086867,0.010136015,,,,
"'market group for heat, district or industrial, natural gas' (megajoule, RER, None)",-0.063051733,0.063547302,0.047568872,0.005212978,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.05393987,0.006141481,,,,
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",,0.058063364,,0.008104637,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.049285025,0.009548184,,,,
"'market for electricity, high voltage' (kilowatt hour, ID, None)",,0.054932652,,0.009052674,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.046627631,0.010665079,,,,
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-0.053208601,0.053208601,0.064606378,0.007221417,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.045164231,0.00850765,,,,
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.053016442,0.053016442,0.08245725,0.009040776,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.045001124,0.010651062,,,,
"'market for heat, central or small-scale, other than natural gas' (megajoule, CH, None)",,0.04960237,,0.010522485,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.04210321,0.012396683,,,,
