names,mu,mu_star,sigma,mu_star_conf,reference_product,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.111969742,,0.013759496,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.095041539,0.01167926
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",,0.110855206,,0.037762781,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.094095505,0.032053596
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.10596511,0.10596511,0.054540466,0.006464586,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.089944721,0.005487234
"'market for electricity, high voltage' (kilowatt hour, PL, None)",,0.101107933,,0.019197568,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.085821878,0.016295174
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",0.063661127,0.100863124,0.11956762,0.010579645,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.085614081,0.008980156
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.095116092,,0.014339827,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.080735917,0.012171853
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.088307452,,0.009895919,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.074956645,0.008399799
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.086545158,,0.016900437,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.073460784,0.014345336
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",,0.080915693,,0.022332493,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.068682413,0.018956144
"'market group for electricity, medium voltage' (kilowatt hour, CN-SGCC, None)",,0.078996188,,0.0138078,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.067053109,0.011720261
