names,mu_star,mu_star_conf,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for electricity, high voltage' (kilowatt hour, CN-SWG, None)",0.003617739136878283,0.001644714749459987,4.742176167859339,0.0762885858479476,0.034682700330857304
"'market for electricity, medium voltage' (kilowatt hour, FI, None)",0.005375328806696644,1.4708365966258933e-07,4.742176167859339,0.11335152082979483,3.1016068247203946e-06
"'market for sawlog and veneer log, softwood, measured as solid wood under bark' (cubic meter, RoW, None)",0.00015515485306718534,1.1565861541491659e-10,4.742176167859339,0.0032718070264610953,2.43893544484506e-09
"'market for oxygen, liquid' (kilogram, RoW, None)",0.04738520305135494,1.0729670822904012e-06,4.742176167859339,0.9992290748815654,2.2626048554723945e-05
"'market for electricity, high voltage' (kilowatt hour, GB, None)",0.003675918760285014,0.0016510734039765973,4.742176167859339,0.07751544080540469,0.03481678759989861
"'market for concrete, 25MPa' (cubic meter, RoW, None)",0.005004480362238661,0.001630631968735896,4.742176167859339,0.10553130430195994,0.03438573159275899
"'market for steel, chromium steel 18/8, hot rolled' (kilogram, GLO, None)",3.459664246399097e-05,8.056019247536077e-10,4.742176167859339,0.0007295520292660955,1.6988021875139737e-08
"'market for heat, district or industrial, other than natural gas' (megajoule, Europe without Switzerland, None)",0.002017677807305107,0.0006652726455341795,4.742176167859339,0.04254750848313392,0.014028847136534987
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",0.005112476364747098,0.001383318558072232,4.742176167859339,0.10780865543118186,0.029170543419450287
"'market for pig iron' (kilogram, RoW, None)",0.11358136030479023,0.02610759997388543,4.742176167859339,2.3951316080284273,0.5505404913219544
"'market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",0.005777921848231826,0.0021248498004313165,4.742176167859339,0.12184114726467517,0.04480748342570523
"'market for waste reinforced concrete' (kilogram, RoW, None)",0.009452975086242654,0.0009997744626703202,4.742176167859339,0.19933833648592209,0.021082609065568043
"'market for electricity, high voltage' (kilowatt hour, IL, None)",0.0038884468484907675,0.0013936700335925225,4.742176167859339,0.0819970981855372,0.029388828762589768
"'market for transport, freight train' (ton kilometer, RoW, None)",0.025364212770808935,0.0047700767676308545,4.742176167859339,0.5348644139945263,0.10058835013259558
"'market for fibre cement corrugated slab' (kilogram, GLO, None)",0.03376742296312778,2.0148811172799148e-07,4.742176167859339,0.7120659749418524,4.2488533659631e-06
"'market for chemical, organic' (kilogram, GLO, None)",0.03182086382898763,0.014611258274219902,4.742176167859339,0.6710181718818738,0.3081129371205026
"'market for road' (meter-year, GLO, None)",0.011463447453261999,1.0713302745165941e-05,4.742176167859339,0.24173390121937843,0.00022591532591675147
"'market for concrete, 20MPa' (cubic meter, PE, None)",0.0005483615445320388,0.00027823553465191003,4.742176167859339,0.011563500070887796,0.0058672542900806675
"'market for waste polyurethane' (kilogram, RoW, None)",0.0010061687723989853,0.0003704665407723131,4.742176167859339,0.021217448209082012,0.00781216318539986
"'market for wood chips, dry, measured as dry mass' (kilogram, RoW, None)",0.0004929953236302076,0.00019314142456730552,4.742176167859339,0.010395972359094162,0.004072843726817751
"'market for sheet rolling, chromium steel' (kilogram, GLO, None)",0.001886269458066092,3.8289735048772484e-10,4.742176167859339,0.0397764526516435,8.07429620778024e-09
"'market for ammonium nitrate' (kilogram, RoW, None)",6.754982884149552e-05,2.4623455718225477e-10,4.742176167859339,0.0014244479000869368,5.192437996106908e-09
"'market for coke' (megajoule, GLO, None)",0.019230611760228354,0.0069883206903071995,4.742176167859339,0.40552293039145415,0.14736526950793966
"'market for electricity, high voltage' (kilowatt hour, MX, None)",0.006394116001478743,0.0028216747160066447,4.742176167859339,0.13483505831806972,0.05950168479886681
"'market for aluminium, wrought alloy' (kilogram, GLO, None)",0.12496378702816155,0.06768993504168179,4.742176167859339,2.635156995539694,1.4274023706765335
"'market for polystyrene foam slab' (kilogram, GLO, None)",0.05582076327176251,0.02173394671505793,4.742176167859339,1.177112812680692,0.45831166843531307
"'market for pipeline, petroleum' (kilometer, GLO, None)",4.481231854152057e-05,2.3508581871011536e-11,4.742176167859339,0.0009449737199820068,4.957340478058099e-10
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",0.019493034399729138,0.006883962964364734,4.742176167859339,0.4110567323889292,0.14516464004483023
"'market for blast oxygen furnace converter' (unit, GLO, None)",1.8426252631775775e-05,6.321907326686791e-12,4.742176167859339,0.00038856111581560146,1.3331236763269714e-10
"'market for chlorine, gaseous' (kilogram, RoW, None)",0.0002655433395373663,7.698323113166283e-05,4.742176167859339,0.005599609338369118,0.0016233734978768992
"'market for polyethylene, high density, granulate' (kilogram, GLO, None)",0.010565458586056398,0.003231906575208458,4.742176167859339,0.22279768216257015,0.06815239377046109
"'market group for electricity, high voltage' (kilowatt hour, RME, None)",0.00027481289952895337,0.00012520552285796074,4.742176167859339,0.005795079933797702,0.002640254567229198
"'market for electricity, high voltage' (kilowatt hour, FR, None)",0.005560203596738256,0.0020962739202300225,4.742176167859339,0.1172500430166048,0.04420489340817339
"'market for waste cement-fibre slab' (kilogram, RoW, None)",0.017633955333450756,4.072460522314214e-08,4.742176167859339,0.37185365345486276,8.587746170030118e-07
