names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,0.382413431,,0.044024708,250,195,9665.196772,31750,117.8113726,0.324598061,0.03736881
"'market for waste mineral oil' (kilogram, CH, None)",,0.053534615,,0.003441696,250,195,9665.196772,31750,117.8113726,0.045440957,0.002921362
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.390295504,0.390295504,0.303270418,0.038615989,250,195,9665.196772,31750,117.8113726,0.331288479,0.032777811
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.284475408,,0.044718749,250,195,9665.196772,31750,117.8113726,0.241466848,0.037957922
"'market for chemical factory, organics' (unit, GLO, None)",-0.011234002,0.01142392,0.008355005,0.001074012,250,195,9665.196772,31750,117.8113726,0.009696789,0.000911637
"'market for electricity, high voltage' (kilowatt hour, IQ, None)",,0.053081584,,0.008888431,250,195,9665.196772,31750,117.8113726,0.045056418,0.007544629
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-1.17996634,1.308275525,1.096761959,0.115488575,250,195,9665.196772,31750,117.8113726,1.110483221,0.098028375
"'market group for transport, freight, lorry, unspecified' (ton kilometer, GLO, None)",,0.523415025,,0.06575593,250,195,9665.196772,31750,117.8113726,0.444282257,0.055814586
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.32834049,,0.077295558,250,195,9665.196772,31750,117.8113726,0.278700165,0.065609589
"'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,26.99235225,,5.925656881,250,195,9665.196772,31750,117.8113726,22.91149967,5.029783416
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.104812044,0.104812044,0.055902496,0.006726538,250,195,9665.196772,31750,117.8113726,0.088965982,0.005709583
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.018519726,0.018529857,0.017424744,0.00188468,250,195,9665.196772,31750,117.8113726,0.015728411,0.001599744
"'market group for transport, freight, light commercial vehicle' (ton kilometer, GLO, None)",,0.028367341,,0.00124453,250,195,9665.196772,31750,117.8113726,0.02407861,0.001056375
"'market for electricity, high voltage' (kilowatt hour, DE, None)",,0.13208098,,0.018826804,250,195,9665.196772,31750,117.8113726,0.11211225,0.015980464
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-0.213679608,0.213679608,0.208204806,0.027664077,250,195,9665.196772,31750,117.8113726,0.181374347,0.02348167
"'market for electricity, high voltage' (kilowatt hour, CH, None)",,6.005983711,,0.8820511,250,195,9665.196772,31750,117.8113726,5.097965993,0.748697753
"'market for diesel, low-sulfur' (kilogram, CH, None)",1.089183369,2.363087762,3.547186807,0.34490467,250,195,9665.196772,31750,117.8113726,2.00582313,0.292760081
"'market group for diesel' (kilogram, RER, None)",0.082510873,0.162586543,0.221574788,0.022761655,250,195,9665.196772,31750,117.8113726,0.138005814,0.019320422
"'market for transport, freight train' (ton kilometer, CH, None)",0.609841633,0.609841633,0.035243794,0.004542922,250,195,9665.196772,31750,117.8113726,0.517642414,0.003856098
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",0.002404244,0.003762144,0.004225028,0.000413094,250,195,9665.196772,31750,117.8113726,0.003193362,0.00035064
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,13.80381562,,3.37232935,250,195,9665.196772,31750,117.8113726,11.7168787,2.862482013
"'market for sawlog and veneer log, softwood, measured as solid wood under bark' (cubic meter, Europe without Switzerland, None)",,2.897394165,,0.38781482,250,195,9665.196772,31750,117.8113726,2.459350147,0.329182838
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",,0.051191568,,0.013097209,250,195,9665.196772,31750,117.8113726,0.043452144,0.0111171
"'market for electricity, high voltage' (kilowatt hour, JP, None)",,0.0306471,,0.007316826,250,195,9665.196772,31750,117.8113726,0.026013703,0.006210628
"'market for pipeline, petroleum' (kilometer, GLO, None)",-0.002252973,0.003373676,0.003928891,0.000375657,250,195,9665.196772,31750,117.8113726,0.002863625,0.000318863
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.092163679,,0.014094174,250,195,9665.196772,31750,117.8113726,0.078229866,0.011963339
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.014966789,,0.002322135,250,195,9665.196772,31750,117.8113726,0.012704028,0.001971062
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-0.002849594,0.005799173,0.007289293,0.000671598,250,195,9665.196772,31750,117.8113726,0.004922422,0.000570062
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-0.065322142,0.065322142,0.087179834,0.011294161,250,195,9665.196772,31750,117.8113726,0.055446381,0.009586647
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.167018438,0.167018438,0.231280769,0.027530151,250,195,9665.196772,31750,117.8113726,0.14176767,0.023367991
"'market for kerosene' (kilogram, RoW, None)",,0.016744199,,0.001921308,250,195,9665.196772,31750,117.8113726,0.014212719,0.001630834
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",,0.140903691,,0.014628631,250,195,9665.196772,31750,117.8113726,0.119601094,0.012416994
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",,0.601819933,,0.091204998,250,195,9665.196772,31750,117.8113726,0.510833479,0.077416124
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.030944227,,0.005922963,250,195,9665.196772,31750,117.8113726,0.026265909,0.005027497
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.099435144,,0.019811592,250,195,9665.196772,31750,117.8113726,0.084401991,0.016816367
"'market for heavy fuel oil, burned in refinery furnace' (megajoule, GLO, None)",-0.001067743,0.009135195,0.013062446,0.001166055,250,195,9665.196772,31750,117.8113726,0.007754086,0.000989765
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.390629276,,0.096919113,250,195,9665.196772,31750,117.8113726,0.331571789,0.082266347
"'market group for electricity, high voltage' (kilowatt hour, UCTE, None)",,0.016160317,,0.010254638,250,195,9665.196772,31750,117.8113726,0.013717111,0.008704285
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.120260236,,0.019227455,250,195,9665.196772,31750,117.8113726,0.102078631,0.016320542
"'market for electricity, high voltage' (kilowatt hour, ZA, None)",,0.153058703,,0.058445725,250,195,9665.196772,31750,117.8113726,0.129918445,0.049609578
"'market for coke' (megajoule, GLO, None)",,0.151516956,,0.011571162,250,195,9665.196772,31750,117.8113726,0.128609788,0.00982177
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.078372709,0.078372709,0.12077875,0.015729553,250,195,9665.196772,31750,117.8113726,0.066523891,0.013351472
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.026097895,,0.002933911,250,195,9665.196772,31750,117.8113726,0.022152272,0.002490346
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",,0.097600131,,0.016011897,250,195,9665.196772,31750,117.8113726,0.082844405,0.01359113
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.027143175,,0.006811649,250,195,9665.196772,31750,117.8113726,0.02303952,0.005781827
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.088814926,,0.010806916,250,195,9665.196772,31750,117.8113726,0.075387396,0.009173067
"'market for electricity, high voltage' (kilowatt hour, IR, None)",,0.061735584,,0.010073019,250,195,9665.196772,31750,117.8113726,0.052402058,0.008550125
"'market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,53.23241045,,6.648570069,250,195,9665.196772,31750,117.8113726,45.18444126,5.643402604
"'market for waste wood, untreated' (kilogram, CH, None)",,0.051325402,,0.003527319,250,195,9665.196772,31750,117.8113726,0.043565745,0.00299404
"'market for railway track' (meter-year, GLO, None)",0.065753176,0.065753176,0.031966593,0.003836016,250,195,9665.196772,31750,117.8113726,0.055812249,0.003256066
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.05672883,0.05672883,0.069249214,0.008276581,250,195,9665.196772,31750,117.8113726,0.048152253,0.007025282
"'market for electricity, medium voltage' (kilowatt hour, CH, None)",6.4914362,6.941899443,6.243358253,0.764585978,250,195,9665.196772,31750,117.8113726,5.892384827,0.648991656
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.117527923,0.117527923,0.147392444,0.017925344,250,195,9665.196772,31750,117.8113726,0.099759404,0.015215292
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.27433884,,0.066208872,250,195,9665.196772,31750,117.8113726,0.232862782,0.05619905
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,0.02985989,,0.007799398,250,195,9665.196772,31750,117.8113726,0.025345507,0.006620242
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,29.46487869,,6.190831473,250,195,9665.196772,31750,117.8113726,25.01021594,5.254867452
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.116299896,,0.025642405,250,195,9665.196772,31750,117.8113726,0.098717037,0.021765645
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.015713162,,0.003554075,250,195,9665.196772,31750,117.8113726,0.013337559,0.00301675
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",,0.006876568,,0.001682458,250,195,9665.196772,31750,117.8113726,0.005836931,0.001428094
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",,0.016184684,,0.002551601,250,195,9665.196772,31750,117.8113726,0.013737794,0.002165836
"'market for petrol, unleaded' (kilogram, IN, None)",-0.000860076,0.001044505,0.001582233,0.000185456,250,195,9665.196772,31750,117.8113726,0.000886591,0.000157418
"'market for electricity, high voltage' (kilowatt hour, FR, None)",,0.122992917,,0.021605936,250,195,9665.196772,31750,117.8113726,0.10439817,0.018339431
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",,0.019924696,,0.004383761,250,195,9665.196772,31750,117.8113726,0.01691237,0.003721
