names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for electricity, high voltage' (kilowatt hour, ES, None)",,0.0012796055775231808,,0.0005906112322666784,100,144,2546.428167104721,10600,1.0646383108373958,0.12019157722369596,0.0554752939335924
"'market group for transport, freight, lorry, unspecified' (ton kilometer, GLO, None)",,0.007616673872094438,,0.0013123526910666743,100,144,2546.428167104721,10600,1.0646383108373958,0.7154236133117838,0.12326746818216956
"'market for natural gas, high pressure' (cubic meter, RO, None)",,0.002361624443201915,,0.0008586148645625125,100,144,2546.428167104721,10600,1.0646383108373958,0.22182410863501326,0.08064850342339881
"'market for electricity, medium voltage' (kilowatt hour, FI, None)",0.0009538947876546317,0.0009538947876546317,0.001637210163862177,0.00033266296459166886,100,144,2546.428167104721,10600,1.0646383108373958,0.08959801445660373,0.031246570896928498
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",,0.00022462874690972801,,7.591648822372115e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.021099066661713996,0.0071307304509837435
"'market for heat, district or industrial, other than natural gas' (megajoule, Europe without Switzerland, None)",,0.0012375948767241742,,0.000248494744745074,100,144,2546.428167104721,10600,1.0646383108373958,0.1162455703618949,0.023340766738857953
"'market for electricity, medium voltage' (kilowatt hour, JP, None)",-0.0004663047374386306,0.0004663047374386306,0.0005190038333389128,8.632874778422615e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.043799357273913674,0.00810873955083618
"'market for natural gas, high pressure' (cubic meter, ES, None)",,0.0027428121445355765,,0.0010086340702275902,100,144,2546.428167104721,10600,1.0646383108373958,0.2576285407556117,0.0947395993512806
"'market for electricity, high voltage' (kilowatt hour, IQ, None)",,0.0002012702660477378,,7.744116910466409e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.01890503695000679,0.0072739416115650025
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",-0.0002467075761219764,0.0002467075761219764,0.0003331250065565542,6.42747984104922e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.023172900468697907,0.0060372426725783124
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",,6.53111734843781e-05,,1.5441728554707737e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.006134587945929478,0.001450420147154199
"'market for natural gas, high pressure' (cubic meter, GR, None)",,0.003138610740150039,,0.0009671344003013726,100,144,2546.428167104721,10600,1.0646383108373958,0.2948053539122927,0.09084159291061665
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.0012083402915429133,,0.00035027828435280496,100,144,2546.428167104721,10600,1.0646383108373958,0.11349772774873075,0.03290115345156911
"'market for natural gas, high pressure' (cubic meter, NL, None)",,0.004429228345525119,,0.0014327432003437336,100,144,2546.428167104721,10600,1.0646383108373958,0.41603127563963865,0.1345755817500878
"'market for natural gas, high pressure' (cubic meter, IT, None)",,0.003471113999399478,,0.0014178026324180287,100,144,2546.428167104721,10600,1.0646383108373958,0.3260369239079194,0.13317223492576086
"'market for electricity, medium voltage' (kilowatt hour, AT, None)",0.0009668034909630685,0.0009668034909630685,0.001690324640084027,0.00033751763419084384,100,144,2546.428167104721,10600,1.0646383108373958,0.09081051105540483,0.031702563279482954
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",0.00014692360989630864,0.00037944504279366657,0.0006004986609797293,0.0001033668676588947,100,144,2546.428167104721,10600,1.0646383108373958,0.035640746620813644,0.009709106520654046
"'market for natural gas, high pressure' (cubic meter, FR, None)",,0.003985232414731828,,0.0015985716442477895,100,144,2546.428167104721,10600,1.0646383108373958,0.37432735363404557,0.15015161750007158
"'market for electricity, medium voltage' (kilowatt hour, HU, None)",0.001228829155075502,0.001228829155075502,0.00204764844384081,0.00039374994061508575,100,144,2546.428167104721,10600,1.0646383108373958,0.11542221828453282,0.03698438583385
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.001136068930010898,,0.00014343085206576308,100,144,2546.428167104721,10600,1.0646383108373958,0.10670937899250668,0.013472261011624402
"'market for natural gas, high pressure' (cubic meter, GB, None)",,0.0038200609919825245,,0.0014755802776481078,100,144,2546.428167104721,10600,1.0646383108373958,0.35881303096991124,0.1385992090109442
"'market for transport, freight train' (ton kilometer, CN, None)",,0.00149998525546204,,0.00034203082767591576,100,144,2546.428167104721,10600,1.0646383108373958,0.14089153472997046,0.032126481284229756
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.006314472474303274,,0.0018576594336567288,100,144,2546.428167104721,10600,1.0646383108373958,0.5931096420282489,0.1744873742328114
"'market for electricity, high voltage' (kilowatt hour, PL, None)",,0.0020943966967431195,,0.0006810668277323366,100,144,2546.428167104721,10600,1.0646383108373958,0.196723777025811,0.06397166256365888
"'market for heavy fuel oil' (kilogram, RoW, None)",,0.0031127076081786807,,0.00030902539808622494,100,144,2546.428167104721,10600,1.0646383108373958,0.2923723086510354,0.029026327057792962
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.0001566243536604934,,0.00010728842018350418,100,144,2546.428167104721,10600,1.0646383108373958,0.014711508318472951,0.010077452510525947
"'market for diesel, low-sulfur' (kilogram, RoW, None)",,0.0022585244025451795,,0.0003044807267369008,100,144,2546.428167104721,10600,1.0646383108373958,0.21214006480461214,0.028599452380913305
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,0.00017586457500598862,,4.409767845274575e-05,100,144,2546.428167104721,10600,1.0646383108373958,0.01651871562537155,0.004142033778406915
"'market for natural gas, high pressure' (cubic meter, AT, None)",,0.003655511870025647,,0.0015776243563545087,100,144,2546.428167104721,10600,1.0646383108373958,0.34335716015614626,0.14818406779985416
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.0018172323811938781,,0.00029405654221782295,100,144,2546.428167104721,10600,1.0646383108373958,0.17069011726287833,0.027620323186240733
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.003363171078941936,,0.001222728719015113,100,144,2546.428167104721,10600,1.0646383108373958,0.3158979950943734,0.11484921278601844
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.00600380568948469,,0.0008867108282155983,100,144,2546.428167104721,10600,1.0646383108373958,0.5639291417911094,0.08328751832330289
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.006068105360229566,,0.0017548329900193389,100,144,2546.428167104721,10600,1.0646383108373958,0.5699687206875611,0.16482902899098825
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-0.0021488289612468935,0.0021488289612468935,0.0035168807635632742,0.0006723634066979153,100,144,2546.428167104721,10600,1.0646383108373958,0.2018365241390499,0.06315416229658925
"'market group for heavy fuel oil' (kilogram, RER, None)",0.013135675890262101,0.019038396648270606,0.019367565450817314,0.0025746998825501156,100,144,2546.428167104721,10600,1.0646383108373958,1.7882501929970822,0.2418379891406476
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",,0.017672798651640145,,0.0030851353650504752,100,144,2546.428167104721,10600,1.0646383108373958,1.6599814671087245,0.2897824860936903
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.0018521000214362438,,0.000269897039476396,100,144,2546.428167104721,10600,1.0646383108373958,0.17396518635323827,0.02535105460032782
"'market for chemical factory, organics' (unit, GLO, None)",-0.0012846845646842797,0.0013235761271720647,0.0014230848201504168,0.0002806658545084636,100,144,2546.428167104721,10600,1.0646383108373958,0.12432166996986989,0.026362554461120666
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.03110658619840718,,0.004551969077036841,100,144,2546.428167104721,10600,1.0646383108373958,2.9217985001817346,0.42756014232255746
"'market for electricity, high voltage' (kilowatt hour, BG, None)",,0.00132022736520676,,0.000360198775758166,100,144,2546.428167104721,10600,1.0646383108373958,0.1240071254028356,0.033832971450637545
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.0012534585882008305,,0.0004283043428872977,100,144,2546.428167104721,10600,1.0646383108373958,0.11773562677966355,0.04023003291610022
"'market for electricity, high voltage' (kilowatt hour, FR, None)",,0.0007298774361823452,,0.0001722378700555781,100,144,2546.428167104721,10600,1.0646383108373958,0.06855637532039,0.016178064259222802
"'market group for municipal solid waste' (kilogram, RER, None)",-0.00010709105109446421,0.00010709105109446421,3.931377165404859e-06,7.621008137868525e-07,100,144,2546.428167104721,10600,1.0646383108373958,0.010058913905721775,7.15830724884791e-05
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.0012284533175925096,,0.00027984692136230404,100,144,2546.428167104721,10600,1.0646383108373958,0.11538691639100085,0.02628563320647265
"'market for electricity, high voltage' (kilowatt hour, BY, None)",,0.0014857443400377727,,0.00042583445229239005,100,144,2546.428167104721,10600,1.0646383108373958,0.13955390529476194,0.039998039517988804
