names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,,,reference_product
Manufacture of other non-metallic mineral products,,0.003018145,,0.00026456,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.002561845,0.000224563,6,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,0.049848839,,0.004128459,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.042312417,0.003504295,5,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Sewerage,0.00232205,0.00232205,0.000364306,3.71E-05,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.001970989,3.15E-05,4,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.507591987,,0.044833715,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.430851433,0.038055507,4,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,0.228421806,,0.025704661,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.193887739,0.021818489,3,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Land transport and transport via pipelines,,0.157748195,,0.015022234,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.133898953,0.01275109,2,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Unknown,,0.065331153,,0.007084417,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.055454029,0.006013355,2,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Civil engineering,,0.024374934,,0.000771562,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.020689797,0.000654913,2,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,-0.007481678,0.007481678,0.000984479,0.000107221,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.006350557,9.10E-05,1,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,0.087293705,,0.004591247,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.074096162,0.003897117,1,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Mining of coal and lignite,,0.009519101,,0.001059291,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.008079951,0.000899142,1,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Construction of buildings,,0.00033239,,1.97E-05,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.000282137,1.67E-05,1,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of machinery and equipment,,0.002414046,,0.000171522,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,159,1633.406541,6000,117.8113726,0.002049078,0.000145591,1,_softwood_forestry__mixed_species__sustainable_forest_management___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Mining of metal ores,,0.073547163,,0.008178196,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.062427897,0.006941772,77,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of basic metals,,0.826179464,,0.065846616,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.701273099,0.055891561,21,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
"Electricity, gas, steam and air conditioning supply",,1.066225502,,0.083913247,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.905027654,0.07122678,13,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of food products,,0.392881045,,0.034152043,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.333483123,0.028988749,9,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of electrical equipment,-0.000620111,0.000622061,0.000376729,3.98E-05,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.000528015,3.38E-05,6,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of other non-metallic mineral products,,0.082654168,,0.007675555,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.070158055,0.006515122,6,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,0.418004638,,0.036758424,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.354808393,0.031201083,6,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
"Crop and animal production, hunting and related service activities",,0.146762045,,0.0201745,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.12457375,0.017124408,5,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Sewerage,0.001245896,0.001245896,0.000443319,5.10E-05,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.001057534,4.33E-05,4,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,2.834088277,,0.293305328,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,2.405615192,0.248961812,4,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,1.203528912,,0.164586853,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,1.021572778,0.139703705,4,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Other mining and quarrying,,0.076472861,,0.006558027,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.064911273,0.005566548,3,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Land transport and transport via pipelines,,25.62838246,,2.2826707,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,21.75374236,1.937563964,2,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Civil engineering,,0.94140686,,0.079553344,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.799079782,0.067526031,2,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of rubber and plastic products,,0.026165694,,0.003087831,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.02220982,0.002620995,2,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.107774636,,0.008015358,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.091480673,0.006803552,1,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,0.149186068,,0.009748969,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.126631296,0.008275066,1,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Mining of coal and lignite,,0.055425188,,0.005847479,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.047045702,0.004963425,1,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Specialized construction activities,0.000269804,0.000581486,0.000852171,7.45E-05,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.000493574,6.32E-05,1,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Construction of buildings,,0.003019541,,0.000250946,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.002563031,0.000213007,1,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Forestry and logging,,2.342175241,,0.171249501,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,1.988072279,0.145359058,1,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of machinery and equipment,0.009081693,0.009153416,0.005382803,0.000566233,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,171,1897.494369,6900,117.8113726,0.007769552,0.000480627,1,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Mining of metal ores,,0.029253269,,0.002798851,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.024830599,0.002375706,72,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of basic metals,,0.344421383,,0.057873756,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.29234986,0.049124082,19,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
"Electricity, gas, steam and air conditioning supply",,0.55074007,,0.351152542,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.467476151,0.298063366,13,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of electrical equipment,-0.000298513,0.000299663,0.0002324,2.76E-05,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.000254359,2.34E-05,7,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of other non-metallic mineral products,,0.040441494,,0.004136374,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.034327326,0.003511014,7,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,0.18278076,,0.016911682,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.155146958,0.01435488,6,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,1.221349085,,0.114483458,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,1.036698799,0.097175218,5,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,0.517316888,,0.069099004,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.43910607,0.058652235,4,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Other mining and quarrying,,0.036389679,,0.00353141,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.030888086,0.002997512,4,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Land transport and transport via pipelines,,12.39171758,,1.072428807,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,10.51826942,0.910293109,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Civil engineering,,0.482294436,,0.046159587,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.409378505,0.039180927,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of rubber and plastic products,,0.012027688,,0.001417972,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.010209276,0.001203595,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.054260126,,0.00431289,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.046056781,0.003660844,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,0.015941167,,0.001064202,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.013531093,0.00090331,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Mining of coal and lignite,,0.022697704,,0.002113015,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.01926614,0.001793558,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Construction of buildings,,0.000558058,,4.80E-05,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.000473687,4.07E-05,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Specialized construction activities,3.99E-05,0.000249691,0.000374732,3.61E-05,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.000211941,3.06E-05,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Manufacture of machinery and equipment,0.002193178,0.002215071,0.001735251,0.000176697,300,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_,4,149,1198.21555,5700,117.8113726,0.001880184,0.000149983,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER3__None_,,,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__CH__None_
Forestry and logging,,2.285188756,,0.171039476,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,1.939701325,0.145180786,236,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
Mining of metal ores,,0.026219407,,0.002373994,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.022255412,0.00201508,42,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
Manufacture of chemicals and chemical products,,0.139204614,,0.012961341,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.118158894,0.011001774,37,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
"Electricity, gas, steam and air conditioning supply",,0.467831927,,0.038544071,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.397102518,0.032716766,33,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
Mining of coal and lignite,,0.05728137,,0.008313251,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.048621257,0.007056408,29,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
Manufacture of fabricated metal products,,0.000316979,,2.55E-05,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.000269056,2.17E-05,29,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
"Waste collection, treatment, and disposal activities",,0.128502972,,0.008466218,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.109075184,0.007186249,26,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
Civil engineering,,0.210699247,,0.015158489,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.178844573,0.012866745,24,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
"Crop and animal production, hunting and related service activities",,0.15815703,,0.017555955,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.134245979,0.014901749,14,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
Manufacture of basic metals,,0.242055741,,0.019815474,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.20546042,0.016819662,8,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
Manufacture of other non-metallic mineral products,,0.024886542,,0.002211848,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.021124057,0.001877448,7,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
Land transport and transport via pipelines,,6.688587164,,0.555009891,300,_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark__import_from_Europe_without_Switzerland___cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,5.677369694,0.471100437,6,_market_for_sawlog_and_veneer_log__softwood__measured_as_solid_wood_under_bark___cubic_meter__Europe_without_Switzerland__None_,,,
