names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,,,reference_product
Manufacture of chemicals and chemical products,,0.001932419,,0.000165973,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.001640265,0.00014088,102,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Electricity, gas, steam and air conditioning supply",,0.034373145,,0.002910976,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.029176424,0.002470879,24,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.034242559,,0.003652224,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.02906558,0.003100061,14,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,0.000929854,,0.000113802,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.000789273,9.66E-05,12,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Mining of coal and lignite,,0.001810636,,0.000262764,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.001536894,0.000223038,12,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of basic metals,,0.024271473,,0.002162168,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.020601978,0.00183528,11,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of other non-metallic mineral products,,0.000601201,,2.13E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.000510308,1.81E-05,7,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Civil engineering,,0.000294125,,2.59E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.000249657,2.20E-05,6,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Land transport and transport via pipelines,,0.528246121,,0.006751438,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.448382961,0.005730718,4,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,0.003290426,,0.000287598,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,217,1458.628673,6900,117.8113726,0.002792962,0.000244118,4,_market_for_transport__freight_train___ton_kilometer__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
